Cycloneuralia   100--	---	?0-00	-00--	---0-	---	01010	10--0	00
Paucipodia	    10000   ---	00000	-0100	0100-	00-	0100-	-0010	00
Microdictyon	10000   ---	00000	-0100	0100-	00-	01010	00010	00
Hallucigenia	00010   ---	01001	00100	0100-	00-	01011	00010	00
Cardiodictyon   00010	---	01001	00100	01?0-	00-	01010	00010	00
Onychodictyon	00010   ---	01000	-1101	0100-	00-	01111	00000	00
Luolishania	    00000   ---	01?0?	??100	0110-	00-	01110	10010	00
Miraluolishania	00000   ---	01111	01100	1100-	00-	01111	00010	00
Jianshanopodia	00001   101 11000	-0101	00-0-	00-	0110-	-?110	10
Megadictyon	    00101   101	11010	-0101	00-0-	00-	0110-	-?1??	??
Diania	        10000   ---	00100	-0110	1100-	00-	01010	00010	00
Aysheaia	    11001   001	00000	-0100	1110-	00-	01010	10000	00
Xenusion	    ?????   ???	1?0??	??100	1??0-	00-	01011	000??	?0
Collins’monster	00000   ---	0?1??	??100	1??0-	00-	01111	000?0	00
Orstenotubulus	?????   ???	2?0??	??100	1??0-	00-	01011	0?0??	?1
Hadranax	    ?????   ???	1?0??	??100	10-0-	00-	01010	1?0??	??
Kerygmachela	00001   001	0100?	?0100	00-10	10-	01110	11011	00
Pambdelurion	00101   101	11010	-0100	00-10	10-	0110-	-11??	??
Opabinia	    00001   201	01011	10???	???10	?0-	00-0-	-0?11	10
Anomalocaris	00101   211	11011	100--	---11	00-	00-0-	-1111	10
Laggania	    00101   211	11011	100--	---11	00-	00-0-	-1100	00
Hurdia	        00101   211	11011	100--	---10	00-	00-0-	-0?10	10
Schinderhannes	00101   211	01011	10110	00-0-	010	10-0-	-0011	10
Fuxianhuia	    00001   210	01011	11110	00-0-	011	10-0-	-0111	00
Leanchoilia	    00001   210	01011	10110	00-0-	011	10-0-	-1110	00
Onychophora	    01000   ---	01011	01100	1100-	00-	01010	10010	01
Tardigrada	    00000   ---	20001	00110	1110-	00-	00-10	00000	01
Euarthropoda  	00000   ---	?1011	11110	01?0-	011	10-0-	-?11?	00
